iata,city,state,latitude,longitude
3R0,Beeville,TX,28.36455528,-97.79208194
3R1,Bay City,TX,28.973255,-95.86345528
3R2,Crowley,LA,30.16173611,-92.48396111
3R4,Many,LA,31.54489667,-93.48645306
3R7,Jennings,LA,30.24269333,-92.67344778
3S4,Illinois Valley (Cave Junction),OR,42.10372417,-123.6822911
3S8,Grants Pass,OR,42.51011722,-123.3879894
3S9,Condon,OR,45.24651889,-120.1664233
3SG,Saginaw - H.Browne,MI,43.43341028,-83.86245833
3SQ,St Charles,MO,38.84866139,-90.50011833
3T3,Boyceville,WI,45.042185,-92.0293475
3T5,La Grange,TX,29.90930556,-96.9505
3TR,Niles,MI,41.83590806,-86.22517611
3U3,Anaconda,MT,46.15313278,-112.86784
3U7,Benchmark,MT,47.48133194,-112.8697678
3U8,Big Sandy,MT,48.16247972,-110.1132631
3V4,Fort Morgan,CO,40.33423194,-103.8039508
3WO,Shawano,WI,44.78777778,-88.56152444
3Y2,West Union,IA,42.98508917,-91.79060417
3Y3,Winterset,IA,41.36276778,-94.02106194
3Z9,Haines,AK,59.23495111,-135.4407181
40J,Perry,FL,30.06927778,-83.58058333
40N,Coatesville,PA,39.97897222,-75.86547222
40U,Manila,UT,40.98607,-109.6784811
41U,Manti,UT,39.32912833,-111.6146397
42A,Melbourne,AR,36.07079222,-91.82914667
42C,White Cloud,MI,43.55974139,-85.77421944
42J,Keystone Heights,FL,29.84475,-82.04752778
42S,Poplar,MT,48.11595861,-105.1821928
43A,Star,NC,35.38819528,-79.79281667
44B,Dover-Foxcroft,ME,45.18338806,-69.2328225
44N,Millbrook,NY,41.70742861,-73.73802889
45J,Rockingham,NC,34.89107083,-79.75905806
45OH,North Bass Island,OH,41.71932528,-82.82196917
45R,Kountze/Silsbee,TX,30.33633806,-94.25754361
46A,Blairsville,GA,34.85508722,-83.996855
46D,Carrington,ND,47.45111111,-99.15111111
46N,Red Hook,NY,41.98458333,-73.83596556
47A,Canton,GA,34.31058333,-84.42391667
47J,Cheraw,SC,34.71258333,-79.95794444
47N,Manville,NJ,40.52438417,-74.59839194
47V,Curtis,NE,40.63750778,-100.4712539
48A,Cochran,GA,32.39936111,-83.27591667
